GEO.id,GEO.id2,GEO.display-label,respop72016
Id,Id2,Geography,Population Estimate (as of July 1) - 2016
0400000US01,01,Alabama,4863300
0400000US02,02,Alaska,741894
0400000US04,04,Arizona,6931071
0400000US05,05,Arkansas,2988248
0400000US06,06,California,39250017
0400000US08,08,Colorado,5540545
0400000US09,09,Connecticut,3576452
0400000US10,10,Delaware,952065
0400000US11,11,District of Columbia,681170
0400000US12,12,Florida,20612439
0400000US13,13,Georgia,10310371
0400000US15,15,Hawaii,1428557
0400000US16,16,Idaho,1683140
0400000US17,17,Illinois,12801539
0400000US18,18,Indiana,6633053
0400000US19,19,Iowa,3134693
0400000US20,20,Kansas,2907289
0400000US21,21,Kentucky,4436974
0400000US22,22,Louisiana,4681666
0400000US23,23,Maine,1331479
0400000US24,24,Maryland,6016447
0400000US25,25,Massachusetts,6811779
0400000US26,26,Michigan,9928300
0400000US27,27,Minnesota,5519952
0400000US28,28,Mississippi,2988726
0400000US29,29,Missouri,6093000
0400000US30,30,Montana,1042520
0400000US31,31,Nebraska,1907116
0400000US32,32,Nevada,2940058
0400000US33,33,New Hampshire,1334795
0400000US34,34,New Jersey,8944469
0400000US35,35,New Mexico,2081015
0400000US36,36,New York,19745289
0400000US37,37,North Carolina,10146788
0400000US38,38,North Dakota,757952
0400000US39,39,Ohio,11614373
0400000US40,40,Oklahoma,3923561
0400000US41,41,Oregon,4093465
0400000US42,42,Pennsylvania,12784227
0400000US44,44,Rhode Island,1056426
0400000US45,45,South Carolina,4961119
0400000US46,46,South Dakota,865454
0400000US47,47,Tennessee,6651194
0400000US48,48,Texas,27862596
0400000US49,49,Utah,3051217
0400000US50,50,Vermont,624594
0400000US51,51,Virginia,8411808
0400000US53,53,Washington,7288000
0400000US54,54,West Virginia,1831102
0400000US55,55,Wisconsin,5778708
0400000US56,56,Wyoming,585501
